epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.1373299846676263,0.1558704972267151,0.1437586396932602,0.9598181818181818,0.9504,0.9584,5
2,0.07622080068662762,0.10535120964050293,0.09681307524442673,0.9775636363636364,0.9668,0.9694,5
3,0.055201980852183294,0.09262437373399734,0.08544281870126724,0.9832363636363637,0.9694,0.9727,5
4,0.03987956648057496,0.08796002715826035,0.0793219804763794,0.9878545454545454,0.9706,0.9757,5
5,0.03027674070542509,0.08677589893341064,0.08157927542924881,0.9906181818181818,0.9742,0.9752,5
6,0.02377055878263094,0.08818533271551132,0.08396271616220474,0.9927636363636364,0.9772,0.9749,5
7,0.024217940512092105,0.09807199239730835,0.09011213481426239,0.9920181818181818,0.9756,0.9744,5
8,0.02849931181811553,0.10963298380374908,0.10545668005943298,0.9907454545454546,0.9744,0.9721,5
9,0.02095451466946344,0.10583947598934174,0.1073431745171547,0.9927818181818182,0.9762,0.9733,5
10,0.010088809736389853,0.08896023780107498,0.09542225301265717,0.9964909090909091,0.9784,0.9763,5
11,0.01795581077439221,0.12240510433912277,0.1195814460515976,0.9938,0.975,0.9746,5
12,0.009109255232259866,0.10287179052829742,0.09619762748479843,0.9968181818181818,0.9778,0.9786,5
13,0.01218562923566622,0.10925959795713425,0.11272308230400085,0.9959090909090909,0.9784,0.9759,5
14,0.008606938924829922,0.1089276596903801,0.11378046870231628,0.9970181818181818,0.979,0.9767,5
15,0.010933253082216238,0.12966014444828033,0.11998098343610764,0.9962545454545455,0.9752,0.9739,5
16,0.008702466438373118,0.11658603698015213,0.11718156933784485,0.9970181818181818,0.976,0.9755,5
17,0.012208152108921405,0.1376066356897354,0.13895244896411896,0.9957818181818182,0.9742,0.9745,5
18,0.016761014784077443,0.1585698127746582,0.14739610254764557,0.9944545454545455,0.972,0.9724,5
19,0.005220224558191769,0.11987712234258652,0.1259860098361969,0.9982545454545455,0.9776,0.9772,5
20,0.00503458708938338,0.11629079282283783,0.1135089248418808,0.9982181818181818,0.9768,0.9772,5
21,0.01021172255067838,0.1429702788591385,0.13515982031822205,0.9964727272727273,0.9762,0.9761,5
22,0.004651517083465685,0.12122265994548798,0.12717141211032867,0.9985454545454545,0.981,0.9795,5
23,0.008424377752469969,0.1315915286540985,0.13762947916984558,0.9970909090909091,0.9776,0.9778,5
24,0.004007696506220059,0.12884417176246643,0.13377700746059418,0.9988,0.9778,0.9782,5
25,0.005510164510405988,0.13506585359573364,0.13603870570659637,0.9982,0.9796,0.9773,5
26,0.011471891518634605,0.15046486258506775,0.16507676243782043,0.9962545454545455,0.9758,0.9741,5
27,0.008506569184081946,0.13716872036457062,0.13157936930656433,0.9974181818181819,0.9786,0.9782,5
28,0.010219630793780235,0.15501569211483002,0.13017883896827698,0.9970181818181818,0.9764,0.9801,5
29,0.007741500621664099,0.1580621302127838,0.1400044709444046,0.9974,0.9744,0.9782,5
30,0.0048095249042795765,0.14967022836208344,0.14265654981136322,0.9986,0.9788,0.9787,5
31,0.005898830781944614,0.1378900408744812,0.13750824332237244,0.9980181818181818,0.9774,0.9777,5
32,0.006174529095898575,0.1677752435207367,0.1474730521440506,0.9978727272727272,0.9768,0.9784,5
33,0.0035490730519585037,0.16230717301368713,0.1398639976978302,0.9986909090909091,0.975,0.9796,5
34,0.0033827125998362943,0.16110196709632874,0.1661253422498703,0.9987636363636364,0.9772,0.9773,5
35,0.0029139221238312332,0.16363903880119324,0.1528085321187973,0.9989818181818182,0.9766,0.9786,5
36,0.00953561966339441,0.18549323081970215,0.16805203258991241,0.9969090909090909,0.974,0.9784,5
37,0.0016669875022906034,0.15085935592651367,0.13901150226593018,0.9994727272727273,0.9798,0.9814,5
38,0.003422760614835722,0.15247264504432678,0.14704462885856628,0.9988181818181818,0.9772,0.9792,5
39,0.0009900038307581983,0.14001522958278656,0.14303933084011078,0.9996363636363637,0.9796,0.9799,5
40,0.010614489831495285,0.20208287239074707,0.17987500131130219,0.9968727272727272,0.9742,0.9757,5
41,0.0015343458094875062,0.15689606964588165,0.15687763690948486,0.9994727272727273,0.979,0.9792,5
42,0.003321889110946621,0.1737423539161682,0.1576554775238037,0.9988181818181818,0.9776,0.9794,5
43,0.0066920497974744236,0.1782466620206833,0.16177216172218323,0.9977818181818182,0.9756,0.9786,5
44,0.004024075014062269,0.1737261414527893,0.1759200096130371,0.9988181818181818,0.977,0.9786,5
45,0.004385963422459774,0.18404608964920044,0.19622500240802765,0.9985818181818182,0.979,0.9781,5
46,0.0005746328674218127,0.15039242804050446,0.16793744266033173,0.9998,0.98,0.9799,5
47,0.016696899597984944,0.2316843718290329,0.22076189517974854,0.9955454545454545,0.9706,0.9751,5
48,0.0020422197426862515,0.1616508513689041,0.16203999519348145,0.9993636363636363,0.98,0.9801,5
49,0.0011023467323707365,0.16860981285572052,0.1600542813539505,0.9997636363636364,0.9808,0.9808,5
50,0.005310368075978924,0.20247569680213928,0.18633785843849182,0.9984727272727273,0.9768,0.9768,5
51,0.005337865837015427,0.1966724544763565,0.18570509552955627,0.9983818181818181,0.9778,0.9794,5
52,0.006580066576441182,0.22050857543945312,0.17714005708694458,0.998109090909091,0.9758,0.9784,5
53,0.001574900255937192,0.18482427299022675,0.1686410903930664,0.9994545454545455,0.9782,0.9799,5
54,0.00040590147544930716,0.181017205119133,0.1496938318014145,0.9998545454545454,0.982,0.9832,5
55,0.004567898795791049,0.1738642305135727,0.17229023575782776,0.9987454545454545,0.9786,0.9804,5
