epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.11800323203206062,0.13102392852306366,0.13443991541862488,0.9640181818181818,0.9598,0.9589,6
2,0.06647709511965513,0.0776405856013298,0.0924089327454567,0.9801272727272727,0.9754,0.9706,6
3,0.05605407236118547,0.08072834461927414,0.09004148840904236,0.9815272727272727,0.9738,0.9708,6
4,0.04509264812694693,0.07815786451101303,0.09537676721811295,0.9857090909090909,0.9766,0.9728,6
5,0.031237494911067188,0.0682850256562233,0.09093066304922104,0.9897636363636364,0.9794,0.9745,6
6,0.01648762266102395,0.05986437201499939,0.07174917310476303,0.9944363636363637,0.9818,0.9796,6
7,0.02464777412792583,0.07722585648298264,0.09548154473304749,0.9916181818181818,0.9802,0.9766,6
8,0.01898320003702644,0.07608070969581604,0.08622947335243225,0.9935454545454545,0.9798,0.9785,6
9,0.012810204081411938,0.07016940414905548,0.07825757563114166,0.996,0.9808,0.9807,6
10,0.0160826415815007,0.06830654293298721,0.09341423213481903,0.9941818181818182,0.9814,0.9783,6
11,0.010015448480574625,0.0686698630452156,0.087740957736969,0.996890909090909,0.9834,0.9805,6
12,0.01994219756525457,0.09010420739650726,0.11631359905004501,0.9938545454545454,0.9796,0.9772,6
13,0.010830125067915685,0.08116870373487473,0.09686879068613052,0.9964181818181819,0.9814,0.9806,6
14,0.008506602706536135,0.07802411168813705,0.0982825830578804,0.9971454545454546,0.9826,0.9794,6
15,0.007987672202149538,0.07520104944705963,0.09010810405015945,0.9972363636363636,0.982,0.9805,6
16,0.007844898209928446,0.0780651643872261,0.09854217618703842,0.9973818181818181,0.9838,0.9789,6
17,0.00849158135651731,0.08239112794399261,0.10915577411651611,0.997109090909091,0.9824,0.9808,6
18,0.013916700926998602,0.09620123356580734,0.10849425941705704,0.9958181818181818,0.9786,0.9807,6
19,0.0033420382406044486,0.07107336074113846,0.10285194963216782,0.9989272727272728,0.9862,0.9818,6
20,0.0046837604069265085,0.07497747987508774,0.1170206293463707,0.9984181818181819,0.9846,0.9807,6
21,0.022741809365032437,0.12025134265422821,0.15129633247852325,0.9935636363636363,0.9778,0.9752,6
22,0.005791680836405241,0.11614885181188583,0.12809041142463684,0.9981272727272728,0.9818,0.9806,6
23,0.006589708102703743,0.10029025375843048,0.12352460622787476,0.9977090909090909,0.9826,0.9798,6
24,0.005304086238315097,0.09328476339578629,0.1232086643576622,0.9981272727272728,0.984,0.9788,6
25,0.006034045249200217,0.09379095584154129,0.12800109386444092,0.998109090909091,0.9818,0.9783,6
26,0.0021073256918017736,0.08113637566566467,0.10594659298658371,0.9992909090909091,0.9844,0.982,6
27,0.003817042660162935,0.09997676312923431,0.13477753102779388,0.9986545454545455,0.984,0.9783,6
28,0.004887654015198555,0.10310113430023193,0.10956080257892609,0.9985272727272727,0.9824,0.9818,6
29,0.005350241339517156,0.10511612892150879,0.09720364958047867,0.9982727272727273,0.983,0.984,6
30,0.006011572396424293,0.09350039064884186,0.11907876282930374,0.9980909090909091,0.9842,0.9807,6
31,0.0069297842311934555,0.11223921179771423,0.12334036827087402,0.9980727272727272,0.9826,0.9815,6
32,0.008621338395032764,0.12241675704717636,0.14507226645946503,0.9970181818181818,0.9826,0.9784,6
33,0.005122645173125504,0.11382125318050385,0.13946124911308289,0.9984727272727273,0.9828,0.9792,6
34,0.009769635583536319,0.12063685059547424,0.13727916777133942,0.9973818181818181,0.9802,0.9782,6
35,0.005063714963867503,0.1179325059056282,0.14219599962234497,0.9984181818181819,0.9812,0.979,6
36,0.00378310247840941,0.13871383666992188,0.14518949389457703,0.9989090909090909,0.9818,0.9792,6
37,0.0026834673223012917,0.12131940573453903,0.1442061811685562,0.999109090909091,0.983,0.9805,6
38,0.001646651875344789,0.1043650358915329,0.13620389997959137,0.9994363636363637,0.9842,0.9805,6
39,0.008423849700821818,0.13173958659172058,0.15808115899562836,0.9974363636363637,0.9816,0.9796,6
40,0.004241791308125392,0.12479754537343979,0.1471974402666092,0.9989090909090909,0.9816,0.9811,6
41,0.015915791436431095,0.14696013927459717,0.18395765125751495,0.9961454545454546,0.98,0.9778,6
42,0.007350669208200043,0.11609794944524765,0.15627241134643555,0.9980181818181818,0.9834,0.9803,6
43,0.006425940568678356,0.14552436769008636,0.15189898014068604,0.9983454545454545,0.9832,0.9817,6
44,0.007563855044748904,0.13041622936725616,0.16030193865299225,0.9979636363636364,0.9828,0.9795,6
45,0.001931801564014747,0.11441517621278763,0.13715088367462158,0.9994181818181819,0.984,0.9838,6
46,0.004457488474273698,0.11459102481603622,0.1418045461177826,0.9985818181818182,0.9826,0.9821,6
47,0.0017270749116105608,0.12181307375431061,0.13508488237857819,0.9994909090909091,0.9844,0.9853,6
48,0.0075781889751773985,0.14085598289966583,0.16539883613586426,0.9985090909090909,0.9826,0.9815,6
49,0.0009393474758513675,0.1129651740193367,0.13725115358829498,0.9998,0.986,0.9828,6
50,0.0030693099070900273,0.1137210801243782,0.160320445895195,0.9992363636363636,0.9846,0.9818,6
51,0.0062956016176192574,0.13695578277111053,0.17727160453796387,0.9982909090909091,0.9838,0.9795,6
52,0.0013009197185458385,0.11759908497333527,0.1667993664741516,0.9996181818181819,0.9862,0.9814,6
53,0.0032292409702110014,0.119491808116436,0.15069086849689484,0.9988363636363636,0.985,0.9819,6
54,0.002212752088994854,0.10480298101902008,0.15861698985099792,0.9993818181818181,0.984,0.9819,6
55,0.005806007523078872,0.13586865365505219,0.19569213688373566,0.9982545454545455,0.9818,0.9785,6
