epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.22511122047223828,0.22295339405536652,0.22333678603172302,0.9360909090909091,0.9346,0.9359,13
2,0.1473913951157169,0.14935512840747833,0.1543952077627182,0.9575454545454546,0.9566,0.9557,13
3,0.11129491013390097,0.11962999403476715,0.12348511815071106,0.9677818181818182,0.9668,0.9639,13
4,0.08927002530985258,0.10259602963924408,0.10541249811649323,0.9734363636363637,0.9704,0.9683,13
5,0.0748078942168504,0.09252011030912399,0.0957525372505188,0.9770545454545455,0.9744,0.9719,13
6,0.06348846908684143,0.08532621711492538,0.089146189391613,0.9804181818181819,0.976,0.9734,13
7,0.055089993325908755,0.08060497790575027,0.08564179390668869,0.9825636363636364,0.9764,0.9741,13
8,0.04851834378408437,0.07773733139038086,0.08282126486301422,0.9847636363636364,0.976,0.9749,13
9,0.04312979051373391,0.0758330225944519,0.08204440027475357,0.9863272727272727,0.9768,0.9755,13
10,0.03847011177792129,0.07501331716775894,0.08204801380634308,0.9880181818181818,0.9764,0.9766,13
11,0.033811143795705656,0.07422558218240738,0.0820339173078537,0.9895454545454545,0.977,0.9772,13
12,0.030145649054066533,0.07447191327810287,0.08291740715503693,0.9909272727272728,0.9778,0.9777,13
13,0.026154192562172697,0.07406055182218552,0.08392243832349777,0.9920909090909091,0.977,0.9772,13
14,0.0237853971010455,0.07560940086841583,0.08604004234075546,0.9928545454545454,0.9766,0.9774,13
15,0.020451317362519067,0.07503148913383484,0.08687083423137665,0.9939272727272728,0.9776,0.9779,13
