epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc
1,0.9252790453063117,1.2067584991455078,1.232574224472046,0.6717333333333333,0.5632,0.5723
2,0.8112185112423367,1.2060304880142212,1.2720650434494019,0.7121333333333333,0.5728,0.5866
3,0.7991135608037313,1.2813774347305298,1.432516098022461,0.7243555555555555,0.5646,0.5739
4,0.5295977573818631,1.3839527368545532,1.4078218936920166,0.8112444444444444,0.586,0.6006
5,0.6096085230085585,1.5162724256515503,1.6600371599197388,0.7891777777777778,0.5604,0.5775
6,0.6954146281878153,1.6710675954818726,1.8149759769439697,0.7768,0.5696,0.5774
7,1.043945795525445,1.789597988128662,2.136946201324463,0.7120444444444445,0.5482,0.5531
8,0.430960028412607,1.8386049270629883,1.9364031553268433,0.8544888888888889,0.5876,0.5899
9,0.24539479653835297,1.9217058420181274,1.9093586206436157,0.9132888888888889,0.5978,0.6003
10,0.17052032313346863,1.9871636629104614,1.9689760208129883,0.9398666666666666,0.5994,0.6088
11,0.16891465469863678,2.075874090194702,2.0812129974365234,0.9401555555555555,0.5968,0.6052
12,0.1570546672569381,2.1238129138946533,2.1782164573669434,0.9458666666666666,0.598,0.6001
13,0.08296241130100356,2.1429126262664795,2.165062189102173,0.9725333333333334,0.6004,0.6092
14,0.0460099690357844,2.1538329124450684,2.1426632404327393,0.9868,0.6054,0.6163
15,0.03289949743747711,2.1787636280059814,2.1454739570617676,0.9913555555555555,0.607,0.6191
