epoch,train_loss,valid_loss,test_loss,train_acc,valid_acc,test_acc,early_stop_epoch
1,0.26939442575519734,0.2885069251060486,0.26593318581581116,0.9231454545454545,0.9146,0.9236,55
2,0.20227779045023703,0.22310344874858856,0.206121563911438,0.9400363636363637,0.9328,0.9375,55
3,0.17687702483954754,0.19907531142234802,0.1848161816596985,0.9470909090909091,0.939,0.9441,55
4,0.16150916258313439,0.18510882556438446,0.17222298681735992,0.9516909090909091,0.9432,0.9476,55
5,0.1515721757411957,0.17719440162181854,0.16432735323905945,0.9545454545454546,0.9464,0.95,55
6,0.14451041495461356,0.1723352074623108,0.15952624380588531,0.9565818181818182,0.9476,0.9512,55
7,0.138843877248466,0.1683851182460785,0.1556311845779419,0.9582,0.9506,0.9532,55
8,0.13457985305244272,0.16586653888225555,0.15261270105838776,0.9595090909090909,0.9514,0.9539,55
9,0.1310171753432263,0.16397196054458618,0.1504446119070053,0.9601818181818181,0.952,0.9545,55
10,0.12786554297398436,0.16220007836818695,0.14839774370193481,0.9612545454545455,0.952,0.9554,55
11,0.12515839594331654,0.16071465611457825,0.14716733992099762,0.9622909090909091,0.9514,0.9561,55
12,0.12276699100637978,0.15965807437896729,0.14598891139030457,0.9629636363636364,0.9514,0.9564,55
13,0.12071120564605702,0.15870168805122375,0.14526215195655823,0.963690909090909,0.9524,0.9565,55
14,0.11894997165927833,0.15771719813346863,0.14485706388950348,0.9639636363636364,0.9524,0.9572,55
15,0.11734118033471433,0.1572309285402298,0.14458206295967102,0.9642,0.9524,0.9573,55
16,0.11595094442604617,0.15643596649169922,0.1440628618001938,0.9645636363636364,0.9534,0.9577,55
17,0.11467371002110568,0.155892014503479,0.1435275822877884,0.9650909090909091,0.9536,0.958,55
18,0.1134061033248224,0.15532207489013672,0.1429957151412964,0.9654363636363636,0.9534,0.9581,55
19,0.11235918220640584,0.15492893755435944,0.14281515777111053,0.9657818181818182,0.9534,0.9585,55
20,0.1114217268855057,0.15460249781608582,0.14240865409374237,0.9660181818181818,0.954,0.9584,55
21,0.11048166875236413,0.15421661734580994,0.1423434466123581,0.9663090909090909,0.9534,0.9586,55
22,0.10957180436497385,0.1542375683784485,0.14230358600616455,0.9665636363636364,0.9536,0.9584,55
23,0.10867287912964821,0.15424104034900665,0.14221689105033875,0.966709090909091,0.9536,0.9589,55
24,0.10788611616600643,0.15445178747177124,0.1420726776123047,0.9669636363636364,0.9534,0.9593,55
25,0.10715069813484496,0.15404421091079712,0.14200134575366974,0.9671818181818181,0.9538,0.9595,55
26,0.10644029253856702,0.15413500368595123,0.14214330911636353,0.9673636363636363,0.9544,0.9602,55
27,0.10574272918125445,0.15405702590942383,0.141947403550148,0.9676181818181818,0.9544,0.9601,55
28,0.10498147750341079,0.15394426882266998,0.14189305901527405,0.9678,0.9542,0.9607,55
29,0.1044233384616673,0.15389469265937805,0.141824409365654,0.9678363636363636,0.9544,0.9605,55
30,0.10386187232218005,0.15406857430934906,0.14192058145999908,0.9680181818181818,0.9544,0.9601,55
31,0.10317101164839484,0.15367791056632996,0.1417459398508072,0.9680727272727273,0.9542,0.9602,55
32,0.10272739292884416,0.15373815596103668,0.1418573558330536,0.9681636363636363,0.9544,0.9608,55
33,0.10223325053196061,0.15386493504047394,0.14192083477973938,0.9684545454545455,0.9552,0.9608,55
34,0.10179202357070012,0.1537286937236786,0.14190036058425903,0.9685454545454546,0.9552,0.9611,55
35,0.10127927149290389,0.15360607206821442,0.14200523495674133,0.9688181818181818,0.9556,0.9612,55
36,0.10082682975517078,0.15334086120128632,0.14191928505897522,0.9690363636363636,0.9558,0.9611,55
37,0.10040417197109623,0.15341858565807343,0.1421293169260025,0.9690909090909091,0.9562,0.9613,55
38,0.09997219506498765,0.15318544209003448,0.14210152626037598,0.9692545454545455,0.9562,0.9615,55
39,0.09955374892326918,0.1530575305223465,0.14238660037517548,0.9693454545454545,0.9562,0.9614,55
40,0.09916629108583386,0.15292686223983765,0.1422402262687683,0.9696545454545454,0.9562,0.9616,55
41,0.0986336847315119,0.15283827483654022,0.14207476377487183,0.9698363636363636,0.9568,0.9619,55
42,0.09814560714025389,0.15261203050613403,0.14183422923088074,0.9699636363636364,0.9562,0.9617,55
43,0.09771154899200933,0.1522814929485321,0.14165541529655457,0.9701818181818181,0.9562,0.9615,55
44,0.09724924337508327,0.15204425156116486,0.14155198633670807,0.9701636363636363,0.9564,0.9614,55
45,0.09686541632884606,0.1520260125398636,0.14151708781719208,0.9704545454545455,0.956,0.9613,55
46,0.09649071695486253,0.1521543711423874,0.14148522913455963,0.9706545454545454,0.9568,0.9617,55
47,0.09605120352486318,0.15209417045116425,0.14172238111495972,0.9706545454545454,0.9572,0.9614,55
48,0.09580443415638398,0.15206696093082428,0.14184704422950745,0.9709272727272727,0.9572,0.9615,55
49,0.09543764865940267,0.1519731730222702,0.14207778871059418,0.9708181818181818,0.9574,0.9615,55
50,0.09514262266965075,0.15165676176548004,0.14204859733581543,0.9709090909090909,0.9572,0.9611,55
51,0.09460234005749225,0.151597797870636,0.14216987788677216,0.9710363636363636,0.9568,0.9614,55
52,0.09452222551015968,0.1516900658607483,0.14251556992530823,0.9711818181818181,0.9574,0.9612,55
53,0.09412965146638454,0.15131503343582153,0.14212094247341156,0.9711636363636363,0.9578,0.9614,55
54,0.09382415556247262,0.1513512134552002,0.14239786565303802,0.9712545454545455,0.9572,0.9612,55
55,0.09345977449721911,0.15123485028743744,0.14214979112148285,0.9712909090909091,0.9578,0.9613,55
